Score,ID,Sutur,Scorer,Time,Session,Sex,Age,PersBase,PersSut,SuturFinal,SutFinalAdjusted,SutFinalLog,Time1,Tim1Sqrt,Time2,Time2Sqrt,TaskName
20,26,6,2,14:25,4,Female,22,0.005275333,0.005160709,-0.000114624,0.006519566,-5.032947462,865,29.41088234,144.1666667,12.00694244,Suturing
15,1,2.5,1,20:00,5,Male,22,0.02950804,NA,NA,NA,NA,1200,34.64101615,480,21.9089023,Suturing
20,2,6,1,19:10,5,Male,23,0.006701418,0.005889838,-0.00081158,0.00582261,-5.146006582,1150,33.91164992,191.6666667,13.8443731,Suturing
23,3,6,1,18:10,5,Male,23,0.008157108,0.007939287,-0.000217822,0.006416369,-5.048902912,1090,33.01514804,181.6666667,13.47837775,Suturing
22,4,6,1,16:05,5,Male,23,0.007356058,0.007923086,0.000567027,0.007201218,-4.933505138,965,31.06444913,160.8333333,12.68200825,Suturing
23,7,6,1,17:10,5,Male,25,0.006230693,0.007076777,0.000846084,0.007480275,-4.895485784,1030,32.09361307,171.6666667,13.10216267,Suturing
27,8,6,1,18:05,5,Male,22,0.007585527,0.006629658,-0.000955869,0.005678322,-5.17109958,1085,32.93933818,180.8333333,13.4474285,Suturing
15,10,6,1,14:10,5,Male,24,NA,NA,NA,NA,NA,850,29.15475947,141.6666667,11.90238071,Suturing
23,11,6,1,19:00,5,Male,22,0.006326574,0.007362815,0.001036241,0.007670432,-4.87038236,1140,33.76388603,190,13.78404875,Suturing
24,12,5,1,20:00,5,Male,23,0.006790488,0.007904935,0.001114447,0.007748638,-4.860238254,1200,34.64101615,240,15.49193338,Suturing
19,13,3,1,20:00,5,Male,22,0.00858393,0.008613481,2.96E-05,0.006663742,-5.011074146,1200,34.64101615,400,20,Suturing
27,19,6,1,12:55,5,Female,23,0.00681288,0.008229919,0.001417039,0.00805123,-4.821930435,775,27.83882181,129.1666667,11.36515141,Suturing
25,21,6,1,18:35,5,Female,22,0.006031647,0.01114313,0.005111483,0.011745673,-4.444270329,1115,33.39161571,185.8333333,13.63207003,Suturing
26,22,6,1,19:20,5,Female,26,0.006856825,0.007624814,0.000767989,0.00740218,-4.905980782,1160,34.05877273,193.3333333,13.90443574,Suturing
23,24,6,1,19:40,5,Female,25,0.00645223,0.006531594,7.94E-05,0.006713554,-5.003626766,1180,34.35112807,196.6666667,14.02378931,Suturing
