"Score","ID","Sutur","Scorer","Time","Session","Sex","Age","PersBase","PersSut","SuturFinal","SutFinalAdjusted","SutFinalLog","SuturQuality","SuturQuantity"
23,3,6,2,"18:10",5,"Male",23,0.00815710828811524,0.00793928668954455,-0.00021782159857069,0.105416368910741,-2.24983735217465,3.83333333333333,3.02777777777778
25,4,6,2,"16:05",5,"Male",23,0.00735605829624258,0.00792308552065309,0.000567027224410514,0.106201217733722,-2.24241970382081,4.16666666666667,2.68055555555556
27,7,6,2,"17:10",5,"Male",25,0.00623069286945623,0.00707677690405858,0.000846084034602349,0.106480274543914,-2.23979552653728,4.5,2.86111111111111
28,8,6,2,"18:05",5,"Male",22,0.00758552737935816,0.00662965848355637,-0.000955868895801788,0.10467832161351,-2.25686323494596,4.66666666666667,3.01388888888889
21,10,6,2,"14:10",5,"Male",24,NA,NA,NA,NA,NA,3.5,2.36111111111111
20,11,6,2,"19:00",5,"Male",22,0.00632657406470484,0.00736281541366736,0.00103624134896252,0.106670431858274,-2.23801127380814,3.33333333333333,3.16666666666667
21,12,5,2,"20:00",5,"Male",23,0.00679048752825319,0.00790493454659614,0.00111444701834295,0.106748637527655,-2.23727839016183,4.2,4
17,13,3,2,"20:00",5,"Male",22,0.00858393004980662,0.00861348117065938,2.95511208527645e-05,0.105663741630165,-2.24749347588957,5.66666666666667,6.66666666666667
27,19,6,2,"12:55",5,"Female",23,0.00681287972000091,0.00822991896611,0.00141703924610908,0.107051229755421,-2.23444777633918,4.5,2.15277777777778
22,21,6,2,"18:35",5,"Female",22,0.00603164696256646,0.0111431298403954,0.00511148287782898,0.110745673387141,-2.20051893730181,3.66666666666667,3.09722222222222
20,22,6,2,"19:20",5,"Female",26,0.00685682506144382,0.00762481414826469,0.000767989086820872,0.106402179596133,-2.24052921735835,3.33333333333333,3.22222222222222
20,24,6,2,"19:40",5,"Female",25,0.00645222999385738,0.00653159378971369,7.93637958563086e-05,0.105713554305168,-2.24702216059807,3.33333333333333,3.27777777777778
27,26,6,2,"12:35",5,"Female",22,0.00476478667352058,0.00546196496446665,0.000697178290946069,0.106331368800258,-2.24119494026876,4.5,2.09722222222222
