"","Score","Sutur","Scorer","Time","Session","Sex","Age","PersBase","PersSut","SuturFinal","SuturQuality","SuturQuantity"
"110",28,6,2,"12:10",4,"Male",25,0.00902524107173353,0.00852803667736436,-0.000497204394369169,4.66666666666667,121.666666666667
"111",29,6,2,"11:55",4,"Male",22,0.00647823185217462,0.00669048607388354,0.000212254221708915,4.83333333333333,119.166666666667
"112",19,5.5,2,"18:35",4,"Male",24,0.00735411583474922,0.00814879166088465,0.000794675826135427,3.45454545454545,202.727272727273
"113",22,5.5,2,"20:00",4,"Male",22,0.00749899785269886,0.00849174836291172,0.000992750510212864,4,218.181818181818
"114",22,6,2,"19:45",4,"Male",23,0.00656405456053953,0.00877520208063505,0.00221114752009552,3.66666666666667,197.5
"115",18,3,2,"20:00",4,"Male",22,0.00551056788006227,0.00530393131166996,-0.000206636568392314,6,400
"116",24,6,2,"12:10",4,"Female",23,0.00619429659033838,0.00771519720591814,0.00152090061557975,4,121.666666666667
"117",23,5.5,2,"20:00",4,"Female",22,0.00648127828589817,0.010517983514959,0.00403670522906086,4.18181818181818,218.181818181818
"118",24,6,2,"19:55",4,"Female",26,0.00742879830106546,0.00852457647286772,0.00109577817180226,4,199.166666666667
"119",22,5,2,"19:55",4,"Female",25,0.00605382904428292,0.00869569885324261,0.00264186980895968,4.4,239
"120",20,6,2,"14:25",4,"Female",22,0.00527533300960183,0.00516070854722066,-0.00011462446238117,3.33333333333333,144.166666666667
"121",15,2.5,1,"20:00",5,"Male",22,0.0295080403529088,NA,NA,6,480
"122",20,6,1,"19:10",5,"Male",23,0.00670141755104866,0.00588983752282066,-0.000811580028227996,3.33333333333333,191.666666666667
"123",23,6,1,"18:10",5,"Male",23,0.00815710828811524,0.00793928668954455,-0.00021782159857069,3.83333333333333,181.666666666667
"124",22,6,1,"16:05",5,"Male",23,0.00735605829624258,0.00792308552065309,0.000567027224410514,3.66666666666667,160.833333333333
"125",23,6,1,"17:10",5,"Male",25,0.00623069286945623,0.00707677690405858,0.000846084034602349,3.83333333333333,171.666666666667
"126",27,6,1,"18:05",5,"Male",22,0.00758552737935816,0.00662965848355637,-0.000955868895801788,4.5,180.833333333333
"127",15,6,1,"14:10",5,"Male",24,NA,NA,NA,2.5,141.666666666667
"128",23,6,1,"19:00",5,"Male",22,0.00632657406470484,0.00736281541366736,0.00103624134896252,3.83333333333333,190
"129",24,5,1,"20:00",5,"Male",23,0.00679048752825319,0.00790493454659614,0.00111444701834295,4.8,240
"130",19,3,1,"20:00",5,"Male",22,0.00858393004980662,0.00861348117065938,2.95511208527645e-05,6.33333333333333,400
"131",27,6,1,"12:55",5,"Female",23,0.00681287972000091,0.00822991896611,0.00141703924610908,4.5,129.166666666667
"132",25,6,1,"18:35",5,"Female",22,0.00603164696256646,0.0111431298403954,0.00511148287782898,4.16666666666667,185.833333333333
"133",26,6,1,"19:20",5,"Female",26,0.00685682506144382,0.00762481414826469,0.000767989086820872,4.33333333333333,193.333333333333
"134",23,6,1,"19:40",5,"Female",25,0.00645222999385738,0.00653159378971369,7.93637958563086e-05,3.83333333333333,196.666666666667
"135",27,6,1,"12:35",5,"Female",22,0.00476478667352058,0.00546196496446665,0.000697178290946069,4.5,125.833333333333
"136",17,2.5,2,"20:00",5,"Male",22,0.0295080403529088,NA,NA,6.8,480
"137",21,6,2,"19:10",5,"Male",23,0.00670141755104866,0.00588983752282066,-0.000811580028227996,3.5,191.666666666667
"138",23,6,2,"18:10",5,"Male",23,0.00815710828811524,0.00793928668954455,-0.00021782159857069,3.83333333333333,181.666666666667
"139",25,6,2,"16:05",5,"Male",23,0.00735605829624258,0.00792308552065309,0.000567027224410514,4.16666666666667,160.833333333333
"140",27,6,2,"17:10",5,"Male",25,0.00623069286945623,0.00707677690405858,0.000846084034602349,4.5,171.666666666667
"141",28,6,2,"18:05",5,"Male",22,0.00758552737935816,0.00662965848355637,-0.000955868895801788,4.66666666666667,180.833333333333
"142",21,6,2,"14:10",5,"Male",24,NA,NA,NA,3.5,141.666666666667
"143",20,6,2,"19:00",5,"Male",22,0.00632657406470484,0.00736281541366736,0.00103624134896252,3.33333333333333,190
"144",21,5,2,"20:00",5,"Male",23,0.00679048752825319,0.00790493454659614,0.00111444701834295,4.2,240
"145",17,3,2,"20:00",5,"Male",22,0.00858393004980662,0.00861348117065938,2.95511208527645e-05,5.66666666666667,400
"146",27,6,2,"12:55",5,"Female",23,0.00681287972000091,0.00822991896611,0.00141703924610908,4.5,129.166666666667
"147",22,6,2,"18:35",5,"Female",22,0.00603164696256646,0.0111431298403954,0.00511148287782898,3.66666666666667,185.833333333333
"148",20,6,2,"19:20",5,"Female",26,0.00685682506144382,0.00762481414826469,0.000767989086820872,3.33333333333333,193.333333333333
"149",20,6,2,"19:40",5,"Female",25,0.00645222999385738,0.00653159378971369,7.93637958563086e-05,3.33333333333333,196.666666666667
"150",27,6,2,"12:35",5,"Female",22,0.00476478667352058,0.00546196496446665,0.000697178290946069,4.5,125.833333333333
